model,rmse_mean,rmse_sd,mae_mean,mae_sd,r2_mean,r2_sd,evaluations
Ridge,0.731482529397,0.121869015813,0.563798800023,0.105212134121,0.538051080234,0.180888042807,50
Linear Regression,0.733316593293,0.123835096196,0.565630569209,0.106389398299,0.53495169717,0.184982060203,50
Lasso,0.734721238528,0.102785443571,0.578125874092,0.0899883142715,0.5401643278,0.153294509708,50
Random Forest,0.776135558246,0.0904530097265,0.637562302395,0.0765310057401,0.49401430815,0.123948717783,50
Gradient Boosting,0.790053698097,0.098605824344,0.649866413665,0.0829844686177,0.475060251339,0.140234598796,50
MLP (L-BFGS),0.814272509372,0.133722336924,0.622378442144,0.102392180808,0.434730338503,0.208514235044,50
Decision Tree,0.914490604176,0.120443102004,0.758506244487,0.102528757994,0.289224613479,0.214888443377,50
Mean baseline,1.15364572605,0.15160651487,0.902010283435,0.12413161899,-0.0873788486262,0.130923909906,50
