feature,mean,std,min,max
age,-0.15526766027,0.0465654553403,-0.235200183164,-0.0496564156332
gleason,0.0338407031786,0.0503319832256,-0.0620039723677,0.133628687417
lbph,0.139934469084,0.0439797545109,0.0588535674637,0.262317492656
lcavol,0.662203250041,0.0551963628763,0.529394743837,0.783652286159
lcp,-0.148232614019,0.0707326823748,-0.30769752071,0.0518951535726
lweight,0.263377164037,0.0483400401989,0.138701964915,0.347698526424
pgg45,0.128038687604,0.0693731600792,0.0038311207631,0.331117485163
svi,0.311500626708,0.0457093058631,0.214182769415,0.424758336916
