rank,model,r2_mean,r2_sd,rmse_mean,rmse_sd,mae_mean,mae_sd,evaluations
1,Linear Regression,0.53495169717,0.184982060203,0.733316593293,0.123835096196,0.565630569209,0.106389398299,50
2,Random Forest,0.49401430815,0.123948717783,0.776135558246,0.0904530097265,0.637562302395,0.0765310057401,50
3,Gradient Boosting,0.475060251339,0.140234598796,0.790053698097,0.098605824344,0.649866413665,0.0829844686177,50
4,Decision Tree,0.289224613479,0.214888443377,0.914490604176,0.120443102004,0.758506244487,0.102528757994,50
5,Neural Network,0.212058701465,0.395052531844,0.94501877953,0.216835398817,0.741621339288,0.169210539689,50
