feature,importance_mean,importance_sd,positive_fraction
lcavol,0.404059670671,0.185801432969,1
svi,0.107777818442,0.0846334152781,0.88
lweight,0.0801926265498,0.0818453357391,0.833333333333
lbph,0.0183090688715,0.0369327553905,0.706666666667
lcp,0.0120466037723,0.0515860925207,0.5
age,0.0111619869706,0.0350805489732,0.64
pgg45,0.0109395997747,0.0471213770655,0.706666666667
gleason,0.00400272727781,0.0114374422179,0.593333333333
