fold,iteration,feature,importance
1,15,age,0.008861090465435262
1,16,age,0.05729634529574623
1,17,age,-0.03397539328372523
1,18,age,-0.017597225116962933
1,19,age,0.02947925754927916
1,20,age,-0.01142028794611405
1,21,age,0.06866215860495206
1,22,age,0.018468030929962742
1,23,age,-0.025964065986086582
1,24,age,-0.03818040148487567
1,25,age,0.037800462324311
1,26,age,0.030443098972944838
1,27,age,0.007930986327876033
1,28,age,-0.04005828444403914
1,29,age,0.0908681423410711
1,30,age,0.06148808569756914
1,1,lbph,0.039588886034862436
1,2,lbph,0.023949704867746502
1,3,lbph,0.06720145656512588
1,4,lbph,0.024404726319751213
1,5,lbph,0.03820782002705225
1,6,lbph,0.08317611865130381
1,7,lbph,0.056068091510483975
1,8,lbph,-0.013690448622987406
1,9,lbph,0.054056045583952717
1,10,lbph,0.06725431313959729
1,11,lbph,0.07764108922951285
1,12,lbph,0.07662961196449958
1,13,lbph,0.06504514908481573
1,14,lbph,0.060275795750884376
1,15,lbph,0.04046310918171403
1,16,lbph,0.03337187959616983
1,17,lbph,0.054565666715706396
1,18,lbph,0.03615358601577867
1,19,lbph,0.07127072121044786
1,20,lbph,0.06717948060460055
1,21,lbph,0.05675553917783416
1,22,lbph,0.05716715705337416
1,23,lbph,0.027844950590178552
1,24,lbph,0.07942542348143478
1,25,lbph,0.03911536212816369
1,26,lbph,0.04442763020838025
1,27,lbph,0.047730074183062965
1,28,lbph,0.030925326941726117
1,29,lbph,0.02799094140783942
1,30,lbph,0.0387480308900352
1,1,svi,0.1486243978835119
1,2,svi,0.1286357078099052
1,3,svi,0.12375594313350113
1,4,svi,0.16416696114105622
1,5,svi,0.300341912217605
1,6,svi,0.28269080492357035
1,7,svi,0.1765446835022617
1,8,svi,0.015995571687417054
1,9,svi,0.2251571142075024
1,10,svi,0.12725980130226322
1,11,svi,0.23554166867859883
1,12,svi,0.18392873451034875
1,13,svi,0.15675826371685575
1,14,svi,0.33121775241133977
1,15,svi,0.14593953501219725
1,16,svi,0.2824895449515603
1,17,svi,0.07131241893170726
1,18,svi,0.1475538713091502
1,19,svi,0.2144082955619645
1,20,svi,0.20012968343200432
1,21,svi,0.2742892430147261
1,22,svi,0.11808398582244939
1,23,svi,0.08162975975359121
1,24,svi,0.16675185207790388
1,25,svi,0.2091453690721785
1,26,svi,0.1318545784115145
1,27,svi,0.1608855975393232
1,28,svi,0.16819807659028196
1,29,svi,0.20684857493349218
1,30,svi,0.26722266078494794
1,1,lcp,0.04721903402772587
1,2,lcp,0.05205181700228745
1,3,lcp,0.03757384017541532
1,4,lcp,0.02563512203649132
1,5,lcp,-0.032698334277501684
1,6,lcp,-0.004639430880669759
1,7,lcp,0.02656039376216124
1,8,lcp,0.08050784856351634
1,9,lcp,-0.0031185183467171695
1,10,lcp,-0.02750969853718377
1,11,lcp,-0.05425141224143393
1,12,lcp,0.07713590995724806
1,13,lcp,0.013718397780651426
1,14,lcp,-0.018948250622154883
1,15,lcp,0.02489491967172186
1,16,lcp,0.0076390583243289845
1,17,lcp,0.03176646796473892
1,18,lcp,0.02204217994995139
1,19,lcp,-0.0033310257512416674
1,20,lcp,0.01429128308860228
1,21,lcp,-0.03356066604805863
1,22,lcp,0.04629394246865226
1,23,lcp,0.018302260365463785
1,24,lcp,0.010110568813326948
1,25,lcp,-0.019733573295858342
1,26,lcp,0.07304881259897755
1,27,lcp,-0.039493856349637646
1,28,lcp,-0.0061784303564641485
1,29,lcp,-0.028029158589971237
1,30,lcp,-0.03915269499106255
1,1,gleason,0.0027652798312267635
1,2,gleason,-0.005405113581137155
1,3,gleason,0.034712326546172734
1,4,gleason,0.009082556435558886
1,5,gleason,0.03047959918034049
1,6,gleason,0.014766216950756639
1,7,gleason,0.03794405784819033
1,8,gleason,0.024335040069290104
1,9,gleason,0.011994535079243529
1,10,gleason,0.04030081250439288
1,11,gleason,0.03382470474050725
1,12,gleason,-0.0031725665961709337
1,13,gleason,0.02568385130819728
1,14,gleason,0.0266481340016661
1,15,gleason,0.02613465443762275
1,16,gleason,0.005294127104519153
1,17,gleason,0.034094972582819794
1,18,gleason,0.01034993349043356
1,19,gleason,0.021014057674476727
1,20,gleason,0.03125491563177496
1,21,gleason,0.033387797605450964
1,22,gleason,-0.017034911183766654
1,23,gleason,0.005148294934318565
1,24,gleason,0.0024857496013368507
1,25,gleason,0.03368154765021425
1,26,gleason,0.00820697681653959
1,27,gleason,0.017500596902487175
1,28,gleason,0.02554926433583382
1,29,gleason,0.013123280975501972
1,30,gleason,0.0244950336652755
1,1,pgg45,0.028753876209617668
1,2,pgg45,0.01908221174224367
1,3,pgg45,0.08502076318671437
1,4,pgg45,0.06042151718970845
1,5,pgg45,0.08534406618987933
1,6,pgg45,0.07743618104089145
1,7,pgg45,0.07870476978991359
1,8,pgg45,0.04694283422417134
1,9,pgg45,0.05644076681950305
1,10,pgg45,0.10545529658319674
1,11,pgg45,0.10322853992061343
1,12,pgg45,0.019975061391403037
1,13,pgg45,0.052932272205500785
1,14,pgg45,0.07891677539739184
1,15,pgg45,0.05646995215342154
1,16,pgg45,0.06693067541245934
1,17,pgg45,0.06952412265448571
1,18,pgg45,0.07394088127922416
1,19,pgg45,0.05189616871481795
1,20,pgg45,0.07546225591188427
1,21,pgg45,0.08365618301306843
1,22,pgg45,-0.001444573267238014
1,23,pgg45,0.04635448580701418
1,24,pgg45,0.0416486782764971
1,25,pgg45,0.07924645554060672
1,26,pgg45,0.02850720825567421
1,27,pgg45,0.06155119769745043
1,28,pgg45,0.07554174183039686
1,29,pgg45,0.056429864520109896
1,30,pgg45,0.06351814967402758
2,1,lcavol,0.3454137665091672
2,2,lcavol,0.4985473718480349
2,3,lcavol,0.46928051675465166
2,4,lcavol,0.6044004431357821
2,5,lcavol,0.6179719751396693
2,6,lcavol,0.6324355499864751
2,7,lcavol,0.6414167039637317
2,8,lcavol,0.3973334718380457
2,9,lcavol,0.46014100926108514
2,10,lcavol,0.22946357581202226
2,11,lcavol,0.33656215431663217
2,12,lcavol,0.33999220768647054
2,13,lcavol,0.2973119125068364
2,14,lcavol,0.35186884252635986
2,15,lcavol,0.5296616565857613
2,16,lcavol,0.40429904961497654
2,17,lcavol,0.40070143096213373
2,18,lcavol,0.5917951001761161
2,19,lcavol,0.5240431720414997
2,20,lcavol,0.4519675896185582
2,21,lcavol,0.433127112307679
2,22,lcavol,0.26841081065656336
2,23,lcavol,0.4824848653176086
2,24,lcavol,0.46119566357689923
2,25,lcavol,0.6036620393960497
2,26,lcavol,0.5567280586006895
2,27,lcavol,0.3149180110511747
2,28,lcavol,0.5124608299841151
2,29,lcavol,0.5473626121359587
2,30,lcavol,0.6238386582413138
2,1,lweight,0.1685045878918393
2,2,lweight,0.1374960272262692
2,3,lweight,0.1366404753938908
2,4,lweight,0.031956059517369684
2,5,lweight,0.06608263408776982
2,6,lweight,0.06133150322862002
2,7,lweight,0.16316999132719123
2,8,lweight,0.11297502039513918
2,9,lweight,0.15889801536411374
2,10,lweight,0.05968756211017234
2,11,lweight,0.14021109317568226
2,12,lweight,0.11534961337129834
2,13,lweight,0.13356506291695247
2,14,lweight,0.03272694350717886
2,15,lweight,0.11504525373785313
2,16,lweight,0.059690331788401996
2,17,lweight,0.1512924624727462
2,18,lweight,0.1517062673866577
2,19,lweight,0.13798337244939596
2,20,lweight,0.12736731364808873
2,21,lweight,0.16671282477527094
2,22,lweight,0.1448122857118055
2,23,lweight,0.053515530839176706
2,24,lweight,0.15947010722264265
2,25,lweight,0.1271676499592459
2,26,lweight,0.12505269172470856
2,27,lweight,0.1112613243848598
2,28,lweight,0.20004753265414532
2,29,lweight,0.14074937604715987
2,30,lweight,0.08973369778844509
2,1,age,0.027358262744302753
2,2,age,-0.006439642615636343
2,3,age,-0.012452396928093523
2,4,age,0.02501256114563588
2,5,age,0.010208775928505998
2,6,age,-0.007901249287302736
2,7,age,-0.05564691456727955
2,8,age,0.025188167200012823
2,9,age,0.019515851970941855
2,10,age,-0.012084353371812795
2,11,age,0.008311543196797722
2,12,age,0.029570466768983006
2,13,age,0.034430648555647037
2,14,age,0.04024655083612061
2,15,age,0.016528692714512738
2,16,age,0.030577886361372042
2,17,age,0.011132435821774811
2,18,age,0.01121482382216854
2,19,age,0.05274647437949198
2,20,age,-0.0063492445462682845
2,21,age,0.03330807122552437
2,22,age,-0.04227874821954958
2,23,age,0.02770450165450511
2,24,age,-0.009157343981670785
2,25,age,0.0032543766895177795
2,26,age,0.03884737192677268
2,27,age,0.08468509598324869
2,28,age,-0.04405671547447121
2,29,age,-0.023834083126549332
2,30,age,-0.04920238805188182
2,1,lbph,0.022806649045113758
2,2,lbph,0.0063657346272677495
2,3,lbph,0.04011005220922592
2,4,lbph,0.07123933714587793
2,5,lbph,0.024555121998740326
2,6,lbph,0.016335277128921577
2,7,lbph,0.034938561548492064
2,8,lbph,-0.021712876531222225
2,9,lbph,0.02399970055984768
2,10,lbph,0.02583913521707104
2,11,lbph,-0.047333336641878665
2,12,lbph,0.040088761036879306
2,13,lbph,0.02457914698830055
2,14,lbph,-0.004231816067384875
2,15,lbph,0.04856729009577543
2,16,lbph,-0.004026897887166925
2,17,lbph,0.02294651853880636
2,18,lbph,0.03896570467412508
2,19,lbph,0.00040546714493250313
2,20,lbph,0.05479129161805718
2,21,lbph,0.04678806839627325
2,22,lbph,0.003855777503232072
2,23,lbph,0.02000250662567593
2,24,lbph,0.009353085237930325
2,25,lbph,-0.018116009159220403
2,26,lbph,-0.025372638621070087
2,27,lbph,0.014307629142562006
2,28,lbph,0.049139399920906435
2,29,lbph,0.06075364664675842
2,30,lbph,0.020348574734075475
2,1,svi,0.1604534618092115
2,2,svi,0.2336829807666082
2,3,svi,0.1059439561912352
2,4,svi,0.07556121836879137
2,5,svi,0.034519958751516366
2,6,svi,0.1054998792647619
2,7,svi,0.12719262110885765
2,8,svi,0.17258305394725615
2,9,svi,0.15641354814545083
2,10,svi,0.05928077239554275
2,11,svi,0.2275305698904696
2,12,svi,0.10885868370050089
