model,repeat,fold,n_test,r2,rmse,mae
Decision Tree,2,1,20,0.322222950766,0.818412978273,0.686158735922
Decision Tree,2,2,20,0.194744273976,0.879364105194,0.776745450708
Decision Tree,2,3,19,-0.0994798203881,1.10161256844,0.81800799749
Decision Tree,2,4,19,0.237556795879,1.17457564928,0.977508541827
Decision Tree,2,5,19,0.172871383548,1.05301085497,0.835176240235
Decision Tree,3,1,20,0.305233156233,0.680973188315,0.568207018991
Decision Tree,3,2,20,0.5820273708,0.870194791064,0.729905754516
Decision Tree,3,3,19,0.00495323298424,0.98411954698,0.831837323713
Decision Tree,3,4,19,0.478817840017,0.939560668065,0.730931189181
Decision Tree,3,5,19,0.182798548166,1.04919677062,0.921070921083
Decision Tree,4,1,20,-0.0104475547786,1.08485702304,0.927257158114
Decision Tree,4,2,20,0.476680701742,0.903806221474,0.762864758304
Decision Tree,4,3,19,0.171747555388,0.857889801374,0.695709808289
Decision Tree,4,4,19,0.549440613628,0.783159320714,0.66783927555
Decision Tree,4,5,19,0.334137478948,0.957277907158,0.746649815132
Decision Tree,5,1,20,0.20725734195,0.942119546729,0.774687154012
Decision Tree,5,2,20,0.13156251927,0.933579612121,0.720399609322
Decision Tree,5,3,19,0.343487882587,1.07566120075,0.903635639306
Decision Tree,5,4,19,0.155032957907,0.990306203048,0.843019778714
Decision Tree,5,5,19,0.498233572807,0.761962670244,0.594208024196
Decision Tree,6,1,20,0.530216526777,0.853556208028,0.714093274483
Decision Tree,6,2,20,-0.0151079051466,1.10452649171,0.922672441042
Decision Tree,6,3,19,0.539947124888,0.740852238807,0.605250561633
Decision Tree,6,4,19,0.387784871571,0.804190558049,0.637117452799
Decision Tree,6,5,19,0.566555624634,0.800354097158,0.673567257929
Decision Tree,7,1,20,0.226141136249,0.928819467197,0.713567258297
Decision Tree,7,2,20,0.341657556842,0.863497227979,0.694221282241
Decision Tree,7,3,19,0.695922073513,0.634114432635,0.533917272378
Decision Tree,7,4,19,0.298824488021,0.875415158694,0.708123672174
Decision Tree,7,5,19,0.381154153873,0.976004545234,0.905334303065
Decision Tree,8,1,20,0.519909030258,1.08765980573,0.927152459341
Decision Tree,8,2,20,0.197479311111,0.99676831986,0.808717304846
Decision Tree,8,3,19,0.165421591162,0.945748554494,0.762140951457
Decision Tree,8,4,19,-0.223544968095,0.945303801228,0.794070996703
Decision Tree,8,5,19,0.131801782403,0.873214798079,0.740234522669
Decision Tree,9,1,20,0.447631880142,0.90741804562,0.779323131677
Decision Tree,9,2,20,0.387359306672,0.770412934948,0.668726404394
Decision Tree,9,3,19,0.615290115542,0.674139197237,0.540891834142
Decision Tree,9,4,19,0.587249040922,0.834390271947,0.711241821717
Decision Tree,9,5,19,0.0204144186607,1.01406215853,0.845182561625
Decision Tree,10,1,20,0.167056896025,0.844820560488,0.713704015333
Decision Tree,10,2,20,0.233453184721,0.821707749474,0.677260124051
Decision Tree,10,3,19,0.397919713638,0.840863949432,0.75331645962
Decision Tree,10,4,19,0.101698958894,0.920958601089,0.772334145708
Decision Tree,10,5,19,0.494147634409,1.10796329168,0.882465509875
Random Forest,1,1,20,0.631262304717,0.726403919303,0.620214671882
Random Forest,1,2,20,0.464315386577,0.776196926575,0.627256252634
Random Forest,1,3,19,0.46634705945,0.740141207409,0.605177443817
Random Forest,1,4,19,0.235531400176,0.788680384924,0.612401544601
Random Forest,1,5,19,0.527968421619,0.859843132009,0.740766951532
Random Forest,2,1,20,0.404981089819,0.766821820303,0.65579945158
Random Forest,2,2,20,0.497846899902,0.694416285534,0.587750067809
Random Forest,2,3,19,0.444521801028,0.783012617123,0.610417416944
Random Forest,2,4,19,0.521742968846,0.930267665564,0.735861504295
Random Forest,2,5,19,0.420216153254,0.88161583192,0.713320817036
Random Forest,3,1,20,0.374846741658,0.645957165619,0.525232311388
Random Forest,3,2,20,0.646356215483,0.800434082316,0.665469774893
Random Forest,3,3,19,0.393402728273,0.768380505456,0.646556964317
Random Forest,3,4,19,0.589656545136,0.833688503473,0.64348256403
Random Forest,3,5,19,0.48886994455,0.829770689586,0.683257262134
Random Forest,4,1,20,0.260622808284,0.928001420207,0.759269822691
Random Forest,4,2,20,0.684354382043,0.701926814924,0.576483374879
Random Forest,4,3,19,0.333769392204,0.76941815976,0.632949117873
Random Forest,4,4,19,0.597442790961,0.740266172971,0.612404536612
Random Forest,4,5,19,0.561567833119,0.776778069213,0.631338364115
Random Forest,5,1,20,0.468297710114,0.771567925608,0.667079352131
Random Forest,5,2,20,0.456991608087,0.738219223432,0.606117167439
Random Forest,5,3,19,0.567229225258,0.873339479781,0.676152763043
Random Forest,5,4,19,0.453657506625,0.796309881061,0.66792619551
Random Forest,5,5,19,0.506062098694,0.755995257908,0.607864171784
Random Forest,6,1,20,0.642678819602,0.744410753478,0.587486127227
Random Forest,6,2,20,0.402880570511,0.847131114235,0.705137938741
Random Forest,6,3,19,0.63952808945,0.655787957409,0.522099831395
Random Forest,6,4,19,0.54568501502,0.692764256564,0.601866784499
Random Forest,6,5,19,0.646878735018,0.722399476323,0.590176696731
Random Forest,7,1,20,0.451307058402,0.782105095348,0.655036838334
Random Forest,7,2,20,0.526880942989,0.732015439325,0.602971251629
Random Forest,7,3,19,0.707763659302,0.62164479398,0.476476101954
Random Forest,7,4,19,0.40000791189,0.80979194814,0.656611344063
Random Forest,7,5,19,0.496942114786,0.879973473051,0.798672424446
