model,repeat,fold,n_test,rmse,mae,r2
MLP (L-BFGS),3,2,20,0.924086747834,0.641439232067,0.528653410781
Ridge,3,2,20,0.801609701727,0.646341564191,0.645316640035
Lasso,3,2,20,0.79508669184,0.63201823655,0.651065546803
Mean baseline,3,2,20,1.34662720588,1.05090018234,-0.000943705893703
Linear Regression,3,3,19,0.763694062558,0.561599509175,0.400779579249
Decision Tree,3,3,19,0.98411954698,0.831837323713,0.00495323298424
Random Forest,3,3,19,0.768380505456,0.646556964317,0.393402728273
Gradient Boosting,3,3,19,0.820045338938,0.699017990416,0.309086774798
MLP (L-BFGS),3,3,19,0.924558246888,0.73362511795,0.121753696604
Ridge,3,3,19,0.759596607804,0.559169364447,0.407192335397
Lasso,3,3,19,0.759006064787,0.579556389064,0.408113725355
Mean baseline,3,3,19,1.00517294717,0.790325708097,-0.0380765015351
Linear Regression,3,4,19,0.591475242077,0.442137369689,0.793455789182
Decision Tree,3,4,19,0.939560668065,0.730931189181,0.478817840017
Random Forest,3,4,19,0.833688503473,0.64348256403,0.589656545136
Gradient Boosting,3,4,19,0.801477175435,0.645312777758,0.620752956947
MLP (L-BFGS),3,4,19,0.716052369264,0.548199946512,0.697288125418
Ridge,3,4,19,0.595341110645,0.443703037014,0.790747029406
Lasso,3,4,19,0.691988613458,0.518086107848,0.717292205884
Mean baseline,3,4,19,1.31347240499,1.04479545081,-0.0185486827426
Linear Regression,3,5,19,0.724789658398,0.577182455171,0.610022801407
Decision Tree,3,5,19,1.04919677062,0.921070921083,0.182798548166
Random Forest,3,5,19,0.829770689586,0.683257262134,0.48886994455
Gradient Boosting,3,5,19,0.80029550872,0.656081470317,0.524537796858
MLP (L-BFGS),3,5,19,0.807806979856,0.633084783972,0.515570656535
Ridge,3,5,19,0.722761162813,0.574904715998,0.612202633921
Lasso,3,5,19,0.714611981449,0.572968923288,0.620898217801
Mean baseline,3,5,19,1.16617303857,0.863396869433,-0.0095811475124
Linear Regression,4,1,20,0.904918350489,0.697724349327,0.296947821974
Decision Tree,4,1,20,1.08485702304,0.927257158114,-0.0104475547786
Random Forest,4,1,20,0.928001420207,0.759269822691,0.260622808284
Gradient Boosting,4,1,20,0.926652310719,0.743889974881,0.262771028513
MLP (L-BFGS),4,1,20,0.964626174657,0.756069614086,0.201110244882
Ridge,4,1,20,0.90475468104,0.697667348763,0.297202116201
Lasso,4,1,20,0.894039658211,0.695146897405,0.313750034975
Mean baseline,4,1,20,1.08582336681,0.837365399156,-0.0122484825789
Linear Regression,4,2,20,0.730438274935,0.606210632488,0.658191277164
Decision Tree,4,2,20,0.903806221474,0.762864758304,0.476680701742
Random Forest,4,2,20,0.701926814924,0.576483374879,0.684354382043
Gradient Boosting,4,2,20,0.773428578156,0.634409749625,0.616772622079
MLP (L-BFGS),4,2,20,0.885342927195,0.675563081014,0.497843438763
Ridge,4,2,20,0.728266195747,0.605901251871,0.660221104354
Lasso,4,2,20,0.726421369094,0.609198310044,0.661940363677
Mean baseline,4,2,20,1.28089012248,1.01409148662,-0.0510898699978
Linear Regression,4,3,19,0.604927892129,0.46944648555,0.58818047296
Decision Tree,4,3,19,0.857889801374,0.695709808289,0.171747555388
Random Forest,4,3,19,0.76941815976,0.632949117873,0.333769392204
Gradient Boosting,4,3,19,0.761173466868,0.601339273684,0.347970869792
MLP (L-BFGS),4,3,19,0.655714374257,0.545585566501,0.516129522926
Ridge,4,3,19,0.60402404987,0.46943667935,0.589410179256
Lasso,4,3,19,0.65093419376,0.520562825372,0.52315867289
Mean baseline,4,3,19,0.976475615263,0.761887895682,-0.0730563315435
Linear Regression,4,4,19,0.810913842525,0.590660736166,0.51693983249
Decision Tree,4,4,19,0.783159320714,0.66783927555,0.549440613628
Random Forest,4,4,19,0.740266172971,0.612404536612,0.597442790961
Gradient Boosting,4,4,19,0.728702219974,0.631061842185,0.609921526154
MLP (L-BFGS),4,4,19,0.832953233111,0.546956353546,0.490325346778
Ridge,4,4,19,0.801443578304,0.58045478743,0.528156793658
Lasso,4,4,19,0.721563397051,0.54054578588,0.617526994443
Mean baseline,4,4,19,1.25142431487,0.963616744534,-0.150432063942
Linear Regression,4,5,19,0.742484944088,0.571277835193,0.599425036459
Decision Tree,4,5,19,0.957277907158,0.746649815132,0.334137478948
Random Forest,4,5,19,0.776778069213,0.631338364115,0.561567833119
Gradient Boosting,4,5,19,0.77840161965,0.615238298956,0.559733176216
MLP (L-BFGS),4,5,19,1.05456538414,0.7980025764,0.191917834509
Ridge,4,5,19,0.741755917937,0.567679670193,0.600211278006
Lasso,4,5,19,0.738357865749,0.552120510435,0.603865825803
Mean baseline,4,5,19,1.17347282169,0.914571914507,-0.000586340382758
Linear Regression,5,1,20,0.755031934272,0.645410569612,0.490844029451
Decision Tree,5,1,20,0.942119546729,0.774687154012,0.20725734195
Random Forest,5,1,20,0.771567925608,0.667079352131,0.468297710114
Gradient Boosting,5,1,20,0.825049640732,0.746751808782,0.392032507372
MLP (L-BFGS),5,1,20,0.79515034911,0.6309373408,0.435298804038
Ridge,5,1,20,0.757094981049,0.651126758258,0.488057795892
Lasso,5,1,20,0.765351122806,0.667768350809,0.47683142806
Mean baseline,5,1,20,1.21483149644,0.951446024351,-0.318111915318
Linear Regression,5,2,20,0.504103825922,0.39448354647,0.746792929752
Decision Tree,5,2,20,0.933579612121,0.720399609322,0.13156251927
Random Forest,5,2,20,0.738219223432,0.606117167439,0.456991608087
Gradient Boosting,5,2,20,0.79138796277,0.654086583012,0.375956704551
MLP (L-BFGS),5,2,20,0.75067807046,0.589546977677,0.438508353937
Ridge,5,2,20,0.503994783444,0.396639177136,0.746902460125
Lasso,5,2,20,0.554337732093,0.470924411771,0.693814427703
Mean baseline,5,2,20,1.0094884339,0.792040665065,-0.0154032192858
Linear Regression,5,3,19,0.847540682698,0.638368446553,0.592420017354
Decision Tree,5,3,19,1.07566120075,0.903635639306,0.343487882587
Random Forest,5,3,19,0.873339479781,0.676152763043,0.567229225258
Gradient Boosting,5,3,19,0.865335964226,0.681124377786,0.575124932779
MLP (L-BFGS),5,3,19,0.813486260516,0.646180099202,0.624515353725
Ridge,5,3,19,0.842678755092,0.632462206019,0.597082780106
Lasso,5,3,19,0.833111760419,0.59417437394,0.606179545596
Mean baseline,5,3,19,1.35070548936,1.03390105061,-0.0351733158116
Linear Regression,5,4,19,0.715035611473,0.553377182785,0.559489652283
Decision Tree,5,4,19,0.990306203048,0.843019778714,0.155032957907
Random Forest,5,4,19,0.796309881061,0.66792619551,0.453657506625
Gradient Boosting,5,4,19,0.764161368345,0.6537404169,0.496880757577
MLP (L-BFGS),5,4,19,0.698209938429,0.562202479088,0.579977240799
Ridge,5,4,19,0.71203570345,0.547125269481,0.563178191344
Lasso,5,4,19,0.736996617761,0.58594098,0.532015186086
Mean baseline,5,4,19,1.09114781833,0.931008840688,-0.0258124087339
Linear Regression,5,5,19,0.680808757526,0.509387173907,0.599424413979
Decision Tree,5,5,19,0.761962670244,0.594208024196,0.498233572807
Random Forest,5,5,19,0.755995257908,0.607864171784,0.506062098694
Gradient Boosting,5,5,19,0.738950295818,0.605938784088,0.528084041224
MLP (L-BFGS),5,5,19,0.895846147125,0.697470593936,0.306412799767
Ridge,5,5,19,0.677076060375,0.505633846357,0.603804875779
Lasso,5,5,19,0.667376260133,0.50851152175,0.615075355581
Mean baseline,5,5,19,1.15298200178,0.839787208502,-0.148892158731
Linear Regression,6,1,20,0.778240553095,0.563737791157,0.609463887536
Decision Tree,6,1,20,0.853556208028,0.714093274483,0.530216526777
Random Forest,6,1,20,0.744410753478,0.587486127227,0.642678819602
Gradient Boosting,6,1,20,0.811165221226,0.619065380584,0.575720422573
MLP (L-BFGS),6,1,20,0.836484439907,0.570849482252,0.548820646989
Ridge,6,1,20,0.777926091995,0.562924749701,0.609779429058
Lasso,6,1,20,0.797433492299,0.601912296526,0.589963584847
Mean baseline,6,1,20,1.25655005,0.884832172662,-0.0181061649416
Linear Regression,6,2,20,0.805061131875,0.623762609276,0.460715850968
Decision Tree,6,2,20,1.10452649171,0.922672441042,-0.0151079051466
Random Forest,6,2,20,0.847131114235,0.705137938741,0.402880570511
Gradient Boosting,6,2,20,0.916782603455,0.74729198045,0.300653084534
MLP (L-BFGS),6,2,20,0.88930858886,0.690821633185,0.341940883905
Ridge,6,2,20,0.803313234614,0.620603973682,0.463055027409
Lasso,6,2,20,0.798845143285,0.60765697535,0.469011476347
Mean baseline,6,2,20,1.10685183319,0.874818846169,-0.0193865843184
Linear Regression,6,3,19,0.671322230892,0.529540186126,0.622248139355
Decision Tree,6,3,19,0.740852238807,0.605250561633,0.539947124888
Random Forest,6,3,19,0.655787957409,0.522099831395,0.63952808945
Gradient Boosting,6,3,19,0.668886194786,0.555027966117,0.624984671908
MLP (L-BFGS),6,3,19,0.720902607919,0.526259545043,0.564390094121
Ridge,6,3,19,0.673724478267,0.533461057597,0.619539821408
Lasso,6,3,19,0.695047838556,0.570012509799,0.595075599242
Mean baseline,6,3,19,1.10244381934,0.844383711538,-0.018726228809
Linear Regression,6,4,19,0.640916184387,0.48458203324,0.611144187806
Decision Tree,6,4,19,0.804190558049,0.637117452799,0.387784871571
Random Forest,6,4,19,0.692764256564,0.601866784499,0.54568501502
Gradient Boosting,6,4,19,0.699566353908,0.582303803983,0.536719580733
MLP (L-BFGS),6,4,19,0.649753477568,0.500435123707,0.600346755682
Ridge,6,4,19,0.636362349884,0.474885145331,0.616650349676
Lasso,6,4,19,0.625684760888,0.498741128483,0.629406948108
Mean baseline,6,4,19,1.06656494057,0.908452134818,-0.0768636692142
Linear Regression,6,5,19,0.706280098099,0.576013148931,0.662461773676
Decision Tree,6,5,19,0.800354097158,0.673567257929,0.566555624634
Random Forest,6,5,19,0.722399476323,0.590176696731,0.646878735018
Gradient Boosting,6,5,19,0.706977945027,0.570514050994,0.661794428287
MLP (L-BFGS),6,5,19,0.769691172058,0.661788376372,0.599131401641
Ridge,6,5,19,0.700007998509,0.571003993047,0.668430151017
Lasso,6,5,19,0.684231816036,0.573089412814,0.683207015282
Mean baseline,6,5,19,1.21991398207,0.949976573212,-0.00699530255184
Linear Regression,7,1,20,0.805863149496,0.633663573237,0.417465385449
Decision Tree,7,1,20,0.928819467197,0.713567258297,0.226141136249
Random Forest,7,1,20,0.782105095348,0.655036838334,0.451307058402
Gradient Boosting,7,1,20,0.724336148892,0.607051679357,0.529370157316
MLP (L-BFGS),7,1,20,0.786244659016,0.60392401769,0.445483390118
Ridge,7,1,20,0.803004027235,0.632124360396,0.421591602422
Lasso,7,1,20,0.789518390978,0.647393872686,0.440856031335
Mean baseline,7,1,20,1.13120896639,0.850437311494,-0.147849159568
Linear Regression,7,2,20,0.667238408577,0.492373743158,0.606909964361
Decision Tree,7,2,20,0.863497227979,0.694221282241,0.341657556842
Random Forest,7,2,20,0.732015439325,0.602971251629,0.526880942989
Gradient Boosting,7,2,20,0.790746076417,0.662070888904,0.447917411356
MLP (L-BFGS),7,2,20,0.638731904074,0.516774502268,0.639780534048
Ridge,7,2,20,0.667879796518,0.492414486576,0.60615387963
Lasso,7,2,20,0.681857689868,0.515987710483,0.589495951206
Mean baseline,7,2,20,1.12378007643,0.909980502987,-0.115045567844
Linear Regression,7,3,19,0.375405799932,0.273741806861,0.893425924153
Decision Tree,7,3,19,0.634114432635,0.533917272378,0.695922073513
Random Forest,7,3,19,0.62164479398,0.476476101954,0.707763659302
Gradient Boosting,7,3,19,0.592856117215,0.471462104854,0.734204129114
MLP (L-BFGS),7,3,19,0.608894474055,0.389155419265,0.719628616568
Ridge,7,3,19,0.381240828449,0.277731205034,0.890087160297
Lasso,7,3,19,0.458107558322,0.346682263975,0.841297220234
Mean baseline,7,3,19,1.2327361228,0.974156393117,-0.149184775406
Linear Regression,7,4,19,0.742076105269,0.598748974843,0.496156673863
Decision Tree,7,4,19,0.875415158694,0.708123672174,0.298824488021
Random Forest,7,4,19,0.80979194814,0.656611344063,0.40000791189
Gradient Boosting,7,4,19,0.822884076651,0.667830583892,0.380450612232
MLP (L-BFGS),7,4,19,0.872746281003,0.680979220175,0.303093317657
Ridge,7,4,19,0.740962136066,0.59487838007,0.497668229542
Lasso,7,4,19,0.731088176994,0.580155033972,0.510967033739
Mean baseline,7,4,19,1.10911577567,0.803226776923,-0.125517832526
Linear Regression,7,5,19,0.860240149596,0.722309850856,0.519251191582
Decision Tree,7,5,19,0.976004545234,0.905334303065,0.381154153873
Random Forest,7,5,19,0.879973473051,0.798672424446,0.496942114786
Gradient Boosting,7,5,19,0.827238179374,0.741539814191,0.555430217698
MLP (L-BFGS),7,5,19,0.88066362812,0.724424789261,0.496152718042
Ridge,7,5,19,0.856157951028,0.71801362098,0.52380307312
Lasso,7,5,19,0.88169142688,0.743722797759,0.494975978633
Mean baseline,7,5,19,1.24080678866,0.997347757152,-0.000200625144539
Linear Regression,8,1,20,0.946187484331,0.734905273197,0.636677932955
Decision Tree,8,1,20,1.08765980573,0.927152459341,0.519909030258
Random Forest,8,1,20,0.924943884483,0.72163683089,0.652809247887
Gradient Boosting,8,1,20,0.996272664582,0.780606108377,0.597195969985
MLP (L-BFGS),8,1,20,1.00505903809,0.712739968676,0.590059784752
Ridge,8,1,20,0.939942459938,0.73136860756,0.641458100591
Lasso,8,1,20,0.902377302066,0.714542366384,0.669543952858
Mean baseline,8,1,20,1.57135693541,1.251499455,-0.00204464503432
Linear Regression,8,2,20,0.835362798597,0.621586462856,0.436338923038
Decision Tree,8,2,20,0.99676831986,0.808717304846,0.197479311111
Random Forest,8,2,20,0.83985041667,0.63022589446,0.430266615437
Gradient Boosting,8,2,20,0.888652358753,0.698084022777,0.362130876404
MLP (L-BFGS),8,2,20,1.00437151523,0.791458574948,0.185189608552
Ridge,8,2,20,0.835251246769,0.620933127108,0.436489452186
Lasso,8,2,20,0.815088835771,0.611718994771,0.463366631914
Mean baseline,8,2,20,1.15090685124,0.844060805,-0.0699121889024
Linear Regression,8,3,19,0.585258112869,0.438797439755,0.680397139348
Decision Tree,8,3,19,0.945748554494,0.762140951457,0.165421591162
Random Forest,8,3,19,0.716033581123,0.574883863361,0.521609491994
Gradient Boosting,8,3,19,0.728436276885,0.592430787929,0.504893184666
MLP (L-BFGS),8,3,19,0.7192694696,0.536008237605,0.517275851047
Ridge,8,3,19,0.586457311316,0.438163788337,0.679086059998
Lasso,8,3,19,0.62317741038,0.46471450261,0.637640896115
Mean baseline,8,3,19,1.03566619897,0.859960386842,-0.000818621757007
Linear Regression,8,4,19,0.78872370968,0.549469498014,0.148221018333
Decision Tree,8,4,19,0.945303801228,0.794070996703,-0.223544968095
Random Forest,8,4,19,0.736427057212,0.605766464619,0.257431367237
Gradient Boosting,8,4,19,0.675374213494,0.559420348502,0.375451634157
MLP (L-BFGS),8,4,19,0.716614289272,0.553927014233,0.296849881578
Ridge,8,4,19,0.779021156057,0.54032010472,0.169048586548
Lasso,8,4,19,0.759350268716,0.556860023149,0.210483103691
Mean baseline,8,4,19,0.923812886915,0.698357046626,-0.168544240546
Linear Regression,8,5,19,0.630618686837,0.516460755408,0.547195861295
Decision Tree,8,5,19,0.873214798079,0.740234522669,0.131801782403
Random Forest,8,5,19,0.682818722858,0.607466925738,0.469130764861
Gradient Boosting,8,5,19,0.684376195335,0.619693190768,0.466706235028
MLP (L-BFGS),8,5,19,0.669806647774,0.579011781168,0.489170907377
Ridge,8,5,19,0.62993624011,0.518657046473,0.548175367621
Lasso,8,5,19,0.62051308492,0.538862654941,0.561591865182
Mean baseline,8,5,19,0.948849958529,0.791597664777,-0.0251131436138
Linear Regression,9,1,20,0.819629900571,0.646938387104,0.5493396306
Decision Tree,9,1,20,0.90741804562,0.779323131677,0.447631880142
Random Forest,9,1,20,0.728637630816,0.607709437896,0.643846697873
Gradient Boosting,9,1,20,0.74785654765,0.59592615431,0.624810753453
MLP (L-BFGS),9,1,20,0.793892245409,0.637781103747,0.577198128118
Ridge,9,1,20,0.81757653467,0.644479063542,0.55159482285
Lasso,9,1,20,0.792052932765,0.618592721057,0.579154977993
Mean baseline,9,1,20,1.22190792069,0.913312712987,-0.00159175706394
Linear Regression,9,2,20,0.806637674795,0.60195408082,0.328392227716
Decision Tree,9,2,20,0.770412934948,0.668726404394,0.387359306672
Random Forest,9,2,20,0.795477799858,0.616610782262,0.346847134326
Gradient Boosting,9,2,20,0.789605049876,0.635946021403,0.356455558963
MLP (L-BFGS),9,2,20,0.888495106665,0.607088713643,0.185166661853
Ridge,9,2,20,0.796016601491,0.592439882997,0.345962033539
Lasso,9,2,20,0.767744036901,0.583438078332,0.391596627532
Mean baseline,9,2,20,0.984302032148,0.752074669935,-3.56269658983e-05
Linear Regression,9,3,19,0.536598310083,0.412705668866,0.756256643683
Decision Tree,9,3,19,0.674139197237,0.540891834142,0.615290115542
Random Forest,9,3,19,0.556826141649,0.467498591809,0.737533779105
Gradient Boosting,9,3,19,0.618424314558,0.522841429649,0.676251847641
MLP (L-BFGS),9,3,19,0.534416930559,0.424326557508,0.758234346668
Ridge,9,3,19,0.535957840367,0.410959239449,0.756838147838
Lasso,9,3,19,0.557675017884,0.425563141578,0.736732914527
Mean baseline,9,3,19,1.1281146792,0.896458360256,-0.0773099885519
Linear Regression,9,4,19,0.64325863053,0.47297013319,0.754686826622
Decision Tree,9,4,19,0.834390271947,0.711241821717,0.587249040922
Random Forest,9,4,19,0.809023775426,0.695616016416,0.611963841518
Gradient Boosting,9,4,19,0.839455830997,0.716303931099,0.582222230176
MLP (L-BFGS),9,4,19,0.892424621802,0.712674816721,0.527836170332
Ridge,9,4,19,0.652500521382,0.482242614497,0.747587212461
Lasso,9,4,19,0.747545068231,0.582919643145,0.668697747764
Mean baseline,9,4,19,1.37850785998,1.13432810951,-0.126595780641
Linear Regression,9,5,19,0.924942050935,0.756530495854,0.1850287662
Decision Tree,9,5,19,1.01406215853,0.845182561625,0.0204144186607
Random Forest,9,5,19,0.864636961787,0.716125002285,0.28783467407
Gradient Boosting,9,5,19,0.923561894166,0.734004974153,0.187459078208
MLP (L-BFGS),9,5,19,0.881248222648,0.685449554311,0.260207815217
Ridge,9,5,19,0.920709192371,0.754157702569,0.192470885503
